gender,height,weight,wingspan,experience,boulder_max,boulder_recent,boulder_90,route_max,route_recent,route_90,freq_climb,hrs_climb,hrs_train,freq_hang,weight_hang_half,weight_hang_open,mm_hang_half,mm_hang_open,campus_freq,campus_dur,end_freq,cross_freq,hrs_cross,pull_rep,pull_weight,push_rep,lsit_time,back_2,back_3,front_2,front_3,full_crimp,half_crimp,middle_2,monos,open_crimp,pinch,slopers,hangboard,no_hangs,max_weight,min_edge,one_arm_hang_program,other_protocol,repeaters,hangboard_2,4x4,arc,feet_on_campusing,laps_of_routes,max_moves,hangboard_repeater_protocols,other,route_climbing_intervals,systems_boards,threshold_intervals,endurance,antagonists,core,legs,upper_body_pulling,upper_body_pushing,strength,indoor,outdoor,act_count,running,yoga,biking,cardio,hiking,other_cross
0,178.0,59.0,183.0,2,8.0,7.0,6.0,25,24,22,3,6,3,2,10.0,10.0,15.0,15.0,2,2,1,2,1,12.0,150.0,30.0,0.0,0,0,0,0,0,1,1,0,0,1,1,True,0,1,0,0,0,1,True,1,1,0,0,0,0,0,0,0,0,True,0,1,1,1,1,True,0,1,1,0,0,1,0,0,0
0,177.0,70.0,185.0,5,7.0,7.0,6.0,26,26,25,4,7,1,1,0.0,17.0,0.0,0.0,0,0,1,4,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,True,0,1,0,0,0,0,True,0,0,0,0,0,0,0,1,0,1,True,1,1,1,1,1,True,0,1,1,0,0,0,0,0,1
1,165.0,65.0,163.0,4,4.0,3.0,2.0,21,21,19,4,9,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,1,0,0,0,0,0,0,True,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0
0,174.0,73.0,179.0,4,7.0,7.0,5.0,27,26,24,3,5,2,2,29.0,0.0,0.0,0.0,0,0,0,1,1,15.0,40.0,35.0,0.0,0,0,0,0,0,1,1,0,0,0,0,True,0,1,0,0,0,0,True,0,0,0,0,0,0,1,0,0,0,True,1,0,0,0,0,True,0,1,0,0,0,0,0,0,0
1,171.0,74.0,178.0,2,5.0,5.0,4.0,25,25,23,1,3,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0,0.0,45.0,3.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,1,0,2,1,0,1,0,0,0
0,170.0,66.0,171.0,10,4.0,4.0,3.0,24,18,18,2,4,8,1,18.0,18.0,20.0,20.0,0,0,3,1,1,10.0,0.0,30.0,0.0,0,0,0,0,1,0,0,0,1,0,0,True,0,1,0,0,0,0,True,0,0,0,0,0,0,1,0,0,0,True,0,1,1,1,1,True,0,1,2,1,0,0,0,1,0
0,188.0,87.0,200.0,1,6.0,6.0,4.0,22,22,19,3,7,2,0,0.0,0.0,0.0,0.0,0,0,0,2,1,8.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,1,1,0,0,0,True,0,1,1,0,1,0,0,0,0
0,180.0,74.0,180.0,2,8.0,6.0,4.0,24,24,21,3,9,0,3,30.0,20.0,0.0,0.0,0,0,0,3,5,12.0,195.0,30.0,10.0,0,0,0,0,0,1,0,0,1,0,0,True,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0,0,0,False,1,1,1,1,1,True,0,1,1,0,1,0,0,0,0
0,186.0,70.0,196.0,0,5.0,5.0,2.0,22,22,20,4,10,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,1,0,0,0,0,0,0,True,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0
0,175.0,73.0,177.0,15,7.0,6.0,4.0,32,32,29,3,5,2,0,0.0,0.0,0.0,0.0,0,0,0,1,1,3.0,0.0,3.0,30.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,1,1,1,1,0,True,0,1,1,0,0,0,0,0,1
